Tratamento;Nome;Telefone;Cargo;Endereço;Bairro;CEP;Cidade;Estado;Email
A Sua Excelência a Senhora presidente;ABEL SOUZA PINTO FILHO;(22) 2785-1360;Presidente da Câmara Municipal Cardoso Moreira;Rua Donatila Villela Marins, 79 Centro;Centro;28.180-000;CARDOSO MOREIRA;RJ;cmcardosomoreira@hotmail.com
A Sua Excelência o Senhor Presidente;ADEMIR GOMES FARIAS;(22) 2566-2030/2916/2366/2976;Presidente da Câmara Municipal Bom Jardim;Pç. Coronel Monnerat, 252 Centro;Centro;28.660-000;BOM JARDIM;RJ;camj.2011@gmail.com
A Sua Excelência a  Senhora  Presidente;ALBARO LIMA DE FREITAS;(24)2257-1264/3919;Presidente da Câmara Municipal Areal;Praça Duque de Caxias, 39 Centro;Centro;25.845-000;AREAL;RJ;camaraareal@hotmail.com
A Sua Excelência o Senhor Presidente;ALBECIR RIBEIRO;(22) 2768-3131 / 2768-3099;Presidente da Câmara Municipal Carapebus;Praça da Matriz, 19 -;Centro;27.998-000;CARAPEBUS;RJ;camaracarapebusrj@gmail.com
A Sua Excelência o Senhor Presidente;ALESSANDRO MACABÚ ARAÚJO;(22) 2778-1183 /2060;Presidente da Câmara Municipal Casimiro de Abreu;Rua Domingos Bento de Barros, 67 Centro;Centro;28.860-000;CASIMIRO DE ABREU;RJ;assessoriacamaracasimiro@gmail.com
A Sua Excelência o Senhor Presidente;ALEXANDRE PEREIRA DA SILVA;(22) 3824-1263/3824-1411;Presidente da Câmara Municipal Itaperuna;Pç. Getúlio Vargas, 94 - 3º andar Centro;Centro; 28.300-000;ITAPERUNA;RJ;alexandredaautoescola@yahoo.com.br
A Sua Excelência o Senhor Presidente;ALUÍSIO SIQUEIRA FILHO;(22) 2741-1301 / 1302;Presidente da Câmara Municipal São João da Barra;Rua Barão de Barcelos, 88 Altos;Altos;28.200-000;SÃO JOÃO DA BARRA;RJ;josesatyro@gmail.com
A Sua Excelência o Senhor Presidente;ALZENIR PEREIRA MELLO;(22) 2760-1060;Presidente da Câmara Municipal Rio das Ostras;Praça João Paulo II, s/nº - Km 151 Verdes Mares;Verdes Mares;28.890-000;RIO DAS OSTRAS;RJ;camaramunicipalriodasostras@gmail.com
A Sua Excelência o Senhor Presidente;ANDRÉ DE AZEREDO DIAS;(21) 2632-2412;Presidente da Câmara Municipal Guapimirim;Av. Dedo de Deus, 820, fundos Centro;Centro;25.940-000;GUAPIMIRIM;RJ;iram@camaradeguapimirim.rj.gov.br
A Sua Excelência o Senhor Presidente;ANDRE LEMOS PERREIRA;(24)  3356-2849;Presidente da Câmara Municipal Pinheiral;Rua Benedito Francisco Vicente da Silva,80-;Centro;27.197-000;PINHEIRAL;RJ;procuradoriacamarapinheiral@gmail.com
A Sua Senhoria o  Senhor  Presidente;ANÍSIO COELHO COSTA;(22) 2551-1917/0155;Presidente da Câmara Municipal Cordeiro;Rua Vereador Julio Silveira do Amaral, 1162;Rodolfo Gonçalves;28.540-000;CORDEIRO;RJ;camaracordeiro@bol.com.br
A Sua Excelência o Senhor Presidente;CARLOS ABERTO SIQUEIRA DA SILVA;(22) 2665-9143 / 2665-9100;Presidente da Câmara Municipal Araruama;Av. Jonh Kennedy, 120 Centro;Centro;28.970-000;ARARUAMA;RJ;alinefiorino@hotmail.com
A Sua Excelência o Senhor Presidente;CARLOS ALBERTO DE MATOS BOTELHO;(22) 2561-1595/11713;Presidente da Câmara Municipal Santa Maria Madalen;Rua Barao de Madalena, 108 / 110;Centro; 28.770-000;SANTA MARIA MADALENA;RJ;cmsmm.rj@hotmail.com
A Sua Excelencia a Senhor  Presidente;CARLOS CASTRO LARANJA;(24) 2458-6402/ 6403;Presidente da Câmara Municipal Rio das Flores;Rua Dr. Leoni Ramos, nº 14 Centro;Centro;27.660-000;RIO DAS FLORES;RJ;camara@cmrf.com.br
A Sua Excelência o Senhor Presidente;CARLOS HENRIQUE PINTO GOMES;(22) 2633-6300 r. 203/228;Presidente da Câmara Municipal Búzios;Av. José Bento Ribeiro Dantas, 5400 Manguinhos;Manguinhos;28.950-000;ARMAÇÃO DOS BÚZIOS;RJ;vereadorherenquegomes@gmail.com
A Sua Excelência o Senhor Presidente;CARLOS MELO DA SILVA;(21) 2649-3733/1208;Presidente da Câmara Municipal Cachoeira de Macacu;Rua Hibraim Barroso, 97 - Pq Veneza;Pq Veneza;28680-000;CACHOEIRAS DE MACACU;RJ;camara@camaracachoeirasdemacacu.rj.gov.br
A Sua Excelência o Senhor Presidente;CARLOS ROBERTO RODRIGUES;(21) 2651-1998 / 1205;Presidente da Câmara Municipal São João de Meriti;Rua Defensor Público Zilmar Duboc Pinaud, 77;Jardim Meriti; 25.555-690;SÃO JOÃO DE MERITI;RJ;contato@cmsjm.rj.gov.br
A Sua Excelência o Senhor Presidente;CEZAR DE MELO;(21) 2664-1342/  1344;Presidente da Câmara Municipal Japeri;Av. Francisco Antônio Russo, 79 Engenheiro Pedreira;Engenheiro Pedreira;26.445-140;JAPERI;RJ;japericm1@bol.com.br
