Tratamento	Nome	Telefone	Cargo	Endereço	Bairro	CEP	Cidade	Estado	Email	Arquivo
A Sua Excelência o Senhor Presidente	JORGE HENRIQUE DA SILVA	(22) 2758-1181	Presidente da Câmara Municipal São Fidelis	Praça da Bandeira, 74 Centro	Centro	28.400-000	SÃO FIDÉLIS	RJ	camaramunicipalf@hotmail.com	convite-Sao-Fidelis.jpg
A Sua Excelência o Senhor Presidente	RENATO DA SILVA FERNADES	(22) 2789-1160 / 1707	Presidente da Câmara Municipal Sâo Francisco de Itabapoana	Av. Vereador Edenites da Silva Viana, 107 Centro	Centro	28.230-000	SÃO FRANCISCO DE ITABAPOANA	RJ	camarasfsfi@yahoo.com.br	convite-Sao-Francisco-de-Itabapoana.jpg
A Sua Excelência o Senhor Presidente	DINEY MARINS	(21) 3056-1792 / 30783400	Presidente da Câmara Municipal São Gonçalo	Rua Feliciano Sodré, 100 Centro	Centro	24440-440	SÃO GONÇALO	RJ	assessoria@camaradesaogoncalo.rj.gov.br	convite-Sao-Goncalo.jpg
A Sua Excelência o Senhor Presidente	ALUÍSIO SIQUEIRA FILHO	(22) 2741-1301 / 1302	Presidente da Câmara Municipal São João da Barra	Rua Barão de Barcelos, 88 Altos	Altos	28.200-000	SÃO JOÃO DA BARRA	RJ	josesatyro@gmail.com	convite-Sao-Joao-da-Barra.jpg
A Sua Excelência o Senhor Presidente	CARLOS ROBERTO RODRIGUES	(21) 2651-1998 / 1205	Presidente da Câmara Municipal São João de Meriti	Rua Defensor Público Zilmar Duboc Pinaud, 77	Jardim Meriti	 25.555-690	SÃO JOÃO DE MERITI	RJ	contato@cmsjm.rj.gov.br	convite-Sao-Joao-de-Meriti.jpg
A Sua Excelência o Senhor Presidente	JOSELIA BARREIRA BRAGA DE JESUS	(22) 3866-1086/1200/1122	Presidente da Câmara Municipal São José de Uba	Rua José Guedes das Neves, s/nº Centro	Centro	28.455-000	SÃO JOSÉ DE UBÁ	RJ	camarafuba@gmail.com	convite-Sao-Jose-de-Uba.jpg
A Sua Excelência o Senhor Presidente	LUCAS DUARTE RABELLO	(24) 2224-1036 / 1542	Presidente da Câmara Municipal São José do Vale	Rua Antonio Coelho Guerra - 55 Centro	Centro	25.780-000	SÃO JOSÉ DO VALE DO RIO PRETO	RJ	lucasrabello@hotmail.com	convite-Sao-Jose-do-Vale-do-Rio-Preto.jpg
A Sua Excelência o Senhor Presidente	LUCIANO DE AZEVEDO LEITE / GUGA	(22) 2621-1525/ 2143/ 996250431	Presidente da Câmara Municipal São Pedro da Aldeia	Rua Hermógenes Freire da Costa, 179 Centro	Centro	 28.940-000	SÃO PEDRO DA ALDEIA	RJ	secretaria@cmspa.rj.gov.br	convite-Sao-Pedro-da-Aldeia.jpg
A Sua Senhoria a Senhora Presidente	MANOEL DA SILVA SANTOS	(22) 2559-1160	Presidente da Câmara Municipal São Sebastião do Alto	Rua Júlio Vieitas, 88 Centro	Centro	 28.550-000	SÃO SEBASTIÃO DO ALTO	RJ	cmssa_rj.1892@yahoo.com.br	convite-Sao-Sebastiao-do-Alto.jpg
A Sua Excelência o Senhor Presidente	FRANCISCO DE ASSIS CAVALCANTE DA SILVA	(24) 2271-1143/1457	Presidente da Câmara Municipal Sapucaia	Rua Maurício de Abreu, 208 Centro	Centro	25.880-000	SAPUCAIA	RJ	camarasapucaia.rj@gmail.com	convite-Sapucaia.jpg
A Sua Excelência o Senhor Presidente	ROMACART SOUZA AZEREDO	(22) 2651-1113 / 9432 / 1334	Presidente da Câmara Municipal Saquarema	Rua Coronel Madureira, 77 Centro	Centro	28.990-000	SAQUAREMA	RJ	vereadorpaulorenato@camarasaquarema.rj.gov.br	convite-Saquarema.jpg
A Sua Excelência o Senhor Presidente	WAGNER VINICIUS OLIVEIRA	(21) 2682-6757 / 6888	Presidente da Câmara Municipal Seropédica	Av. Ministro Fernando Costa, 754 Centro	Centro	23.890-000	SEROPÉDICA	RJ	cpdcms@outlook.com	convite-Seropedica.jpg
A Sua Excelência o Senhor Presidente	RONI LUIZ PEREIRA DA SILVA	(22) 2668-1142	Presidente da Câmara Municipal Silva Jardim	Pç. Amaral Peixoto, 46 Centro	Centro	 28.820-000	SILVA JARDIM	RJ	camara.sj@ig.com.br	convite-Silva-Jardim.jpg
A Sua Excelência o Senhor Presidente	RONDINELI TOMAS DA COSTA	(22) 2531-1394 / 1568 / 1133	Presidente da Câmara Municipal Sumidouro	Rua Dez de Junho, 165 - 2º andar Centro	Centro	 28.637-000	SUMIDOURO	RJ	cmssecgeral@netflash.com.br	convite-Sumidouro.jpg
A Sua Excelência o Senhor Presidente	LUCIANO LUCIO NATALINO	(21) 2747-1558 / 1565	Presidente da Câmara Municipal Tanguá	Rua XV de Novembro, Lote . 40 Centro	Centro	24.890-000	TANGUÁ	RJ	camaratangua@ig.com.br	convite-Tangua.jpg
A Sua Excelência o Senhor Presidente	MAURÍCIO LOPES	(21) 2742-1766/ 5620	Presidente da Câmara Municipal Teresópolis	Av. Feliciano Sodré, 645 Centro	Centro	25.963-001	TERESÓPOLIS	RJ	drhabib@camarateresopolis.rj.gov.br	convite-Teresopolis.jpg
A Sua Excelência o Senhor Presidente	ISAIAS ALVES NOGUEIRA	(22) 2564-1108/1433	Presidente da Câmara Municipal Trajano de Moraes	Pça. Waldemar Magalhães, 5 Centro	Centro	28.750-000	TRAJANO DE MORAES	RJ	cmtrajano@hotmail.com	convite-Trajano-de-Morais.jpg
A Sua Excelência o Senhor Presidente	JOACIR BARBAGLIO PEREIRA	(24) 2251-5100	Presidente da Câmara Municipal Três Rios	R. Ruy Barbosa, 176 Pç. JK Centro	Centro	25.805-001	TRÊS RIOS	RJ	joa@cvtr.rj.gov.br	convite-Tres-Rios.jpg
A Sua Excelência o Senhor Presidente	GENÁRIO EURICO ROCHA	(24) 2453-3777/  3199	Presidente da Câmara Municipal Valença	Pça. XV de Novembro, 676 Centro	Centro	 27.600-000	VALENÇA	RJ	vereadordodo@hotmail.com	convite-Valenca.jpg
A Sua Excelência a  Senhora  Presidente	RÓGERIO RAMOS DE OLIVEIRA JÚNIOR	(22) 3843-3586 / 3480 / (22) 9972-1383	Presidente da Câmara Municipal Varre e Sai	Av. Felicíssimo Faria Salgado, 21 Centro	Centro	 28.375-000	VARRE-SAI	RJ	rogeriopicachu@gmail.com	convite-Varre-Sai.jpg
A Sua Excelência a Senhora  Presidente	RODRIGO ANDRADE VAZ	(24) 2491-9400	Presidente da Câmara Municipal Vassouras	Rua Barão de Capivari, 20 Centro	Centro	27.700-000	VASSOURAS	RJ	rose.rosefarias@gmail.com	convite-Vassouras.jpg
A Sua Excelência  a  Senhora  Presidente	PAULO CESAR LIMA CONRADO	(24) 4009-2266	Presidente da Câmara Municipal Volta Redonda	Av. Lucas Evangelista, 511 Aterrado	Aterrado	27.215-630	VOLTA REDONDA	RJ	ver.pauloconrado@ig.com.br	convite-Volta-Redonda.jpg
